NUM,EXPECTED,CXM20B_qwerty,# characters,edit distance
4,我叫,我叫,2,0
8,一九九七年出世嘅,一九九七年出細嘅,8,1
10,係係啦,係係喇,3,1
11,差差唔多二十一,叉叉唔多二十一,7,2
14,我喺香港出世嘅,我喺香港出細嘅,7,1
16,屋企有嗲哋媽咪同埋細佬,屋企有爹爹媽咪同埋細佬,11,2
18,我出世嘅時候第一撻住嘅地方喺旺角,我出細嘅時候第一達住嘅地方喺旺角,16,2
19,太平道,太平度,3,1
21,係嚟嘅但係我已經唔係好記得因為,係離嘅但係我已經唔係好記得因為,15,1
22,我住咗冇耐之後就轉咗去又一城附近住,我住咗冇耐之後就轉咗去又一成附近住,17,1
24,係呀又一居,係呀又一居,5,0
26,有少少印象囉,有少少印象囉,6,0
27,因為我都係住咗幾年跟住,因為我都係住咗幾年跟住,11,0
28,小一就再搬囉,小一就再搬囉,6,0
30,去奧運站附近,去奧運站附近,6,0
32,嗯係啦,嗯係喇,3,1
35,我個感覺係,我個噉覺係,5,1
36,其實冇乜冇乜特別我覺得,其實冇乜冇乜特別我覺得,11,0
37,啫係佢係有奧運站係有算新嘅,遮係佢係有奧運站係有算身嘅,13,2
38,但係都有幾個屋村咁樣,但係都有幾個屋穿噉樣,10,2
39,咁有個商場係係喺中間咁樣啦,噉有個商場係係喺中間噉樣喇,13,3
40,咁我成日覺得佢有少少係自成一角囉,噉我成日覺得佢有少少係自成一角囖,16,2
41,因為佢比條公路擋住咗嘅,因為佢俾條公路擋住咗嘅,11,1
42,咁即係如果你去旺角或者去大角咀附近呢你就要再行過天橋咁樣囉,噉即係如果你去旺角或者去大角咀附近呢你就要再行過天橋噉樣囖,29,3
43,所以我覺得佢自己喺個角落頭度囉,所以我覺得佢自己喺個角落唞度囖,15,2
45,以前唔覺嘅但係我而家覺得可能啫係起多好多新樓所以越嚟越多人囉,以前唔覺嘅但係我而家覺得可能啫係起多好多新樓所以越梨越多人囖,30,2
47,其實算方便嘅,其實算方邊嘅,6,1
48,因為有地鐵站啦,因為有地鐵站喇,7,1
49,但係因為佢比較喺市區嘅偏遠嘅一個角度呢,但係因為佢比較喺市區嘅拼遠嘅一個角度呢,19,1
50,所以其實好多小巴巴士都唔到囉,所以其實可多小巴巴士都唔到囖,14,2
52,係主要係地鐵,係主要係地鐵,6,0
55,趣事都有嘅,翠士都有嘅,5,2
56,因為以前啲幼稚園同學就會嚟玩啦,因為以前啲幼U園同學就會離玩啦,15,2
57,咁有一個幼稚園同學就住我隔離嗰座嘅咁,噉有一個幼U園同學就住我隔離嗰座嘅噉,18,3
58,以前放學嘅時候就會啫係都會落去公園玩我地,以前放學嘅時候就會啫係都會落去公園玩我哋,20,1
59,我地屋苑有個會所有個公園嘅,我哋屋院有個會所有個公園嘅,13,2
61,有呀好多,有呀好多,4,0
62,啫係我自己就都有幾次嘅但係,遮係我自己就都有幾次嘅但係,13,1
63,就因為比較細規模所以唔係好記得啦,就因為比較細規模所以唔係好記得喇,16,1
64,但係我細佬呢就以前喺公園玩呢,但係我細佬呢就以前喺公園玩呢,14,0
65,就整傷過隻牙啦,就整傷過隻牙啦,7,0
66,啫係整到塊面所以隻牙好似唔知甩咗定點樣咁樣,遮係整到塊面所以隻牙好似唔知甩咗定點樣咁樣,21,1
