NUM,EXPECTED,CXM46A_qwerty,# characters,edit distance
4,四十零歲呀四十六歲到啦,四十零稅啊四十六歲到喇,11,3
5,有太太啦一個仔啦同埋工人囉,有太太啦一個仔喇同埋工人囖,13,2
6,我係最大嘅,我係最大嘅,5,0
7,香港出世,香港出細,4,1
9,住咗十一年到啦,住咗十一年到喇,7,1
10,嗯,嗯,1,0
12,係樓嚟嘅,係留來嘅,4,2
13,冇錯,冇錯,2,0
14,喺住咗十四年到,喺住咗十四年到,7,0
15,知道,支度,2,2
16,爸爸喺大陸,爸巴喺大陸,5,1
17,媽媽喺香港,嫲媽喺香港,5,1
18,因為要嚟香港搵食,因為要嚟香港揾食,8,1
19,所以啫係喺大陸搵唔到食就嚟香港,所以啫係喺大陸揾唔到食就來香港,15,2
20,就啫係生活囉咁㗎,就遮係生活囉噉𡃉,8,3
21,嗯嗯,嗯嗯,2,0
23,都有嘅,都有嘅,3,0
24,因為以前佢屋企好窮,因為以前佢屋企好虹,9,1
25,就將佢自己屋企人將佢自己賣咗賣咗去第二度,就張佢自己屋企人將佢賣咗去第二度,20,5
26,賣咗去第二家人,賣咗去第二家人,7,0
27,第二家人就開始啫係當然佢自己係好有錢嘅好有錢嘅嗰家人,第二家人就開始啫係當然佢自己係好有前嘅好有前嘅嗰家人,26,2
28,但係呢就末落咗之後就自己跑落嚟香港,但係呢就U落咗之後就自己跑落嚟香港,17,1
29,咁樣,咁樣,2,0
30,當然啦你佢地嚟到香港會投孝投靠佢嗰個阿叔,當然喇你佢哋來到香港會頭U頭靠佢嗰個阿叔,20,6
31,而當然嗰時辛苦當然就一定辛苦啦未有身份證就搵唔到野做嘅,移當然嗰時辛苦當然就一定辛苦喇未有新份正就揾唔到嘢做嘅,27,6
32,就開始領到身份證之後呢先慢慢去出去自己去搵搵到自己個另外一個一個天地,就開始領到新份正之後呢先萬慢去出去自己去揾揾到自己嗰另外一個一個天地,34,6
33,嗄咁樣囉嗯嗯,下噉樣囉嗯嗯,6,2
34,社區精神我住嗰區呢係應該係新新發展區嚟嘅,社區蒸神我住嗰區呢係應該係新新發剪區來嘅,20,3
35,咁而家樣樣野都開始個配套已經開始開始完善㗎啦,噉而家樣樣嘢都開始個U兔已經開始開始完善𡃉嚹,22,6
