NUM,EXPECTED,C1F74A_qwerty,# characters,edit distance
3,七十四,一U四,3,2
4,你唔知架,哋唔知嘍,4,2
5,你嘅意思即係而家住緊嘅五個,哋嘅意思啫係而家住揀嘅五個,13,3
7,我個女女婿,到個女女細,5,2
8,同埋佢地兩個女,同咪佢哋兩個女,7,2
9,我係中國廣西省,到喺終角趕西生,7,6
10,桂林市,桂林屎,3,1
11,而家我係住,而家我係住喺,5,1
12,加拿大,楂嗱大,3,2
13,呢個,哎個,2,1
14,省,啊大路生,1,4
15,噉就係,噉就係,3,0
16,號,號,1,0
17,兩年,兩連,2,1
18,加拿大應該係有十八年咯,揸吔大煙該係U八連呀,11,7
19,多個十八年啦十九二十都有,多個十八連啊十九意十都有,12,3
20,因為我啲女同佢家庭搬黎所以我同佢地黎,因為我啲女同個家痛搬離鎖以我同咪佢離,18,7
21,有啲咩趣事,有啲咩最時,5,2
22,趣事好多都係關於啲細佬仔嘅,對時好多但係軍於啲細路仔嘅,13,5
23,下哇其他都冇乜大事,打嘩其他都冇乜大時,9,3
24,講你啊,講理啊,3,1
25,講我兩個一個當事係得一個大嘅外孫女,擋我兩個啊一個當時係得一個大嘅愛酸水,17,6
26,咁啊同佢黎嘅時後呢佢果陣時未夠兩歲,抌啊同佢來嘅時候囖佢劏時美夠兩歲,17,7
27,咁啊搭飛機啦,抌惡搭飛機啦,6,2
28,再,最,1,1
29,搭飛機之前呢,疊飛機之前囉,6,2
30,我地執行李啦,我哋U行李啦,6,2
31,咁佢成人呢就喱埋係果啲篋裡面,噉佢成日哩就喱埋係嗰啲喼裏面,14,6
32,佢話佢坐係果者篋呢,佢話佢坐喺嗰隻喼囉,9,5
33,就飛去加拿大啦,飛去得吔大呀,7,4
35,咁收尾呢就坐飛機喇喎,抌收尾哩就坐飛機去囖,10,4
36,喺飛機上邊呢,底飛機上便囉,6,3
37,佢就好得意啦佢就向後邊,佢就好得意啦隊就向後便,11,2
38,又有飛機上嘅乘客呢起哂打招呼,又有飛機上嘅成客囖起洗打招呼,14,3
39,一啲都唔怕羞㗎噃,一啲都唔怕走噃,8,2
40,咁啊,噉啊,2,1
41,人人都好鍾意佢,人人都好鍾意佢,7,0
42,黎到,对到,2,1
43,個個都好鍾意佢,個個都好鍾意佢,7,0
44,識好多嘢唱啲中國啲民歌啊,的好多嘢障啲中角啲文歌啊,12,4
45,啊英文嘅民歌啊咁,英文嘅文歌啊噉,8,3
46,點知到左幾歲,點知道咗幾歲,6,2
47,跟我睇七八歲之後呢唔講嘢架喇,赶我睇七八歲之後囖唔講嘢啊,14,4
48,點都唔肯開口喇,點都唔敢開口啊,7,2
49,咁經過幾年,噉啊堅個幾連,5,5
50,咁樣嘅時間,咁樣嘅時間,5,0
51,咁而家講翻啦,抌而家講返啦,6,2
52,咁佢而家個細嗰個孫女呢就係呢度出世,噉佢而家嗰個細嗰個穿裏囖就喺利度出細,17,8
53,佢又係㗎噃,裏有係個喎,5,4
54,又係開頭呢,有係開頭囉,5,2
55,到處去摟人傾計但係呢,到處去扣人傾啟但係囖,10,3
56,有幾年呢就總唔講嘢喇就唔知點解喇,有幾連屋就坐唔講嘢呀豆唔知點計啊,16,7
57,唔知係咪加拿大啲水食到佢哋唔開聲喇,唔知係唔係得吔大啲水食到佢哋唔開U啊,17,6
59,我有一個呢就,到有一個呢就,6,1
60,成三十幾,靚三十几,4,2
61,四十年相識嘅,四十連雙色嘅,6,3
62,朋友,朋友,2,0
63,喺住喺呢區,抵住喺利區,5,2
64,我哋經常一個禮拜都見,倒哋堅上一個禮拜都見,10,3
65,都見都兩次都有嘅,都見都兩至都U𠸏,8,3
66,我仲有幾個呢就係我,倒仲有幾個呢就係我,9,1
67,六十應該,六十煙該,4,1
68,五十幾六十年前,五十几六十連前,7,2
69,嘅同學,嘅同學,3,0
70,而家都仲有,而家都仲有,5,0
71,喺埋一齊,喺買一滯,4,2
72,好開心啦大家成日喺一齊,好開衫啦大家成日喺一滯,11,2
73,有一個就住喺呢區,有一個就住喺利區,8,1
74,有啲呢就住咗喺嗰邊,有啲囉就住咗喺嗰邊,9,1
75,都應該都係嘅以我行動唔方便嚟講呢,都煙該都係嘅耳我恆堂方邊離講囖,16,8
76,佢哋都好幫我忙,佢哋都好幫我U,7,1
77,即係出入幫我開門啊,爹係出入幫我開悶喎,9,3
78,開閘啊,開插啊,3,1
79,入𨋢啊幫我㩒𨋢啊呢啲都係,垃連呢幫我壞U暗利啲都係,12,7
80,即係我就好少幫到人,遮係我就好少幫倒人,9,2
81,但係人哋幫我好多,但係人哋幫我好多,8,0
82,冇乜特別需要人幫㗎噃試過一次,倒乜特別衰要人幫個喎試個一至,14,6
83,行去嗰個機,恆去嗰個機,5,1
84,原來佢封咗喎,原李佢封咗喎,6,1
85,嗰度門開唔到出去,個重悶去唔倒長去,8,6
86,噉我又約咗我個同學呢舊同學,抌我又約咗我個同學囖我九同學,13,4
87,喺出便等我喇喎,底長便等我囖喎,7,3
88,噉我點算呢,抌我點算嘞,5,2
89,噉我就走去呢個管理處,抌我就走去利個管理處,10,2
90,我講畀佢聽囉,到講俾佢聽囉,6,2
91,噉樣噉樣噉收尾呢佢就,抌樣咁樣感收尾呢佢就,10,3
92,打電話去搵一個清潔嘅女工,打電話佢搵一個清潔嘅裏公,12,3
93,嚟帶我,得帶我,3,1
94,行另住一度出口,恆零住一度長口,7,3
95,噉我嗰個舊同學呢,抌我嗰個舊同學囖,8,2
96,佢又走去嗰個,佢又走去嗰個,6,0
97,嗰個叫咩啊嗰度啊,嗰個叫咩啊嗰度啊,8,0
98,佢同人哋講,隊同人哋講,5,1
99,我個朋友而家要出緊嚟,我個朋有而家要長緊來,10,3
100,但係佢又出唔到噉點算呢噉,但係佢又U唔倒噉點算囖,12,4
101,噉搞到個個呢就打電話上嚟呢度,抌較到個個哩就打電話上離利度,14,5
102,搵到我嘅女婿,蛋到我個裏細,6,4
103,我個女婿就即刻落去啦,到個裏細囉就即咳落去啦,10,5
104,噉嗰個清潔女工呢又到,抌嗰個清潔裏公爹又到,10,4
105,噉佢哋兩個都喺嗰度,抌佢哋兩嗰都喺嗰度,9,2
106,收尾佢哋就送我出去,兜尾佢哋就送我長去,9,2
107,行另住一條路,U靚住一跳路,6,3
108,出去呢間屋,U去利間屋,5,2
109,噉都算好幫啊吓哇,抌都算好幫啦盒話,8,4
110,嗰啲都算好幫,嗰啲都酸好幫啊,6,2
111,同我屋企人啦,冬我屋企人啦,6,1
112,同我嘅同學啦,同我嘅同學啦,6,0
113,我有一個同學呢佢揸車,到有一個同學呢佢擦車,10,2
114,噉所以呢我同佢出街呢,抌所以嘞我同佢U街囖,10,4
115,佢包接送,佢爆接餸,4,2
116,屋企人呢就,爹奇人囉就,5,3
117,係有,係有,2,0
118,有兩個人揸車嘅噉啊有車坐喇,有兩個人擦車嘅抌啊有車咗啦,13,4
119,出街,U街,2,1
120,都係飲茶食嘢,都係飲咋食嘢,6,1
121,去吓,去呀,2,1
122,買吓嘢噉囉,買呀嘢噉囖,5,2
123,以前呢就行吓啊,以前嘞就行啊啊,7,2
124,乜嘢都買,咩嘢都買,4,1
125,但係而家呢就,但係而家嘞就,6,1
126,諗住,諗住,2,0
127,即係唔需要買咁多嘢㗎喇,遮係唔需要買咁多嘢呀,11,3
128,即係生活,爹係生活,4,1
129,即係簡單啲好啲,遮係簡單啲好啲,7,1
130,所以呢就,朵以嘞就,4,2
131,已經唔買衣物,已經唔買姨密,6,2
132,唔買喇,呃買呀,3,2
133,噉最多去食嘢㗎啫,抌最多去食嘢嘅啫,8,2
134,食嘢都唔係食得好多不過係,嘀嘢都唔係食得好多筆個係,12,3
135,即係鍾意享受嗰啲,爹係鍾意響受嗰啲,8,2
136,氣氛,汽U,2,2
137,嗰啲社交活動,嗰啲社教活動,6,1
138,即係大家傾吓偈噉啦,爹係大嘉傾哈解噉啦,9,4
139,鍾意噉樣囉,鍾意噉樣囖,5,1
140,打麻雀囉,打麻著囉,4,1
141,最好就打麻雀啦,著好就打麻著囉,7,3
