NUM,EXPECTED,C2M22A_qwerty,# characters,edit distance
2,一九八七年,一九八七年,5,0
3,今年廿二歲,今年廿二歲,5,0
5,我的家有七七六六個囉,我打加有七七六六個囉,10,2
6,一個姐姐一個妹妹一個弟弟同埋阿嫲同阿爸,一個姐遮一個U妹一個带底同埋阿U同阿爸,19,5
7,加拿大,加拿大,3,0
9,我都係多倫多出世嘅,我都係多輪多出細嘅,9,2
11,噉,噉,1,0
12,搬,搬,1,0
13,我住咗嗰度住咗嗰度好似四歲度噉就搬咗去,我住咗嗰度住咗嗰度好似四歲倒噉就搬咗去,19,1
15,我啲家人啦,我啲加人啦,5,1
16,兩個都係响香港出世,兩個都係響香港出細,9,2
17,我阿嫲我爸爸爸同埋,我麻我巴爸巴同嫲,9,5
18,全部死嗮喇,全部死晒喇,5,1
19,我得我爸爸係即係本來佢係過嚟加拿大度讀書嘅讀大學去咗,我得我爸巴係遮係本來佢係個離加拿大度篤書篤大學去咗,26,7
20,所以都而家都係即係一齊搬嗮喺度,所以都而家都係遮係一齊搬嗮喺度,15,1
21,係,係,1,0
24,即係咩,遮係咩,3,1
25,冇,冇,1,0
27,好少嘅,好笑嘅,3,1
28,我哋我哋家人啦,我哋我哋加人喇,7,2
29,呢度全部差唔多㗎咋,哩度全部差唔多𡃉咋,9,2
30,有,有,1,0
31,因為我鍾意,因為我鍾意,5,0
34,冇即係,冇遮係,3,1
35,有,有,1,0
36,去過嗰邊去過同埋去過,去個嗰邊去個同埋去個,10,3
37,差唔多係咁多喇,差唔多係咁多喇,7,0
38,都係加拿大,都係加拿大,5,0
43,打機,打機,2,0
48,有,有,1,0
50,屋企囉,屋企囉,3,0
51,有,有,1,0
52,佢哋揸去邊啊都係揸去屋企啊屋企啊去睇戲囉食下嘢囉,佢揸去邊呀都係揸去屋企呀屋企呀去睇起食吓嘢囉,24,7
54,通常唔會嘅,通常唔會嘅,5,0
55,噉嗰啲會嘅,噉嗰啲會嘅,5,0
57,每個都唔同嘅其實但係我哋呢即係會出街囉唔會留喺屋企嘅,每個都唔同嘅其實但係我哋囖遮係會出街囖唔會留喺屋企嘅,26,3
58,我哋可能會出去食飯啊,哦哋可能會出去食飯啊,10,1
59,嗱例如呢我我啱啱過咗我生日呢我哋去去咗打嗰啲,嗱例如囉我我啱啱個咗我生日囉我哋去去咗打嗰啲,22,3
60,嗰個嗰啲,嗰個嗰啲,4,0
61,大停電有一次囉,大停電有一次囉,7,0
62,即係或者我幾年呢即係好似係一,遮係或者我幾連哩𠸏係好次係一,14,5
63,一九定係二千幾因為,一九定係二千幾因為,9,0
64,發生過一次啦係啦嗰次,發生過一次啦係喇嗰次,10,1
65,我哋去咗嗰度噉我哋即係燒囉,我哋去咗嗰度噉我哋啫係U囖,13,3
66,冇,冇,1,0
67,我發覺而家呢啲人即係,我返意而家哩啲人啫係,10,4
68,打機打得多得多啲啦因為舊時呢我哋係即係,打機打得多得多啲啦因為舊時囖我哋係遮係,19,2
69,係有電腦但係我哋冇玩咁多,係有電好但係我哋冇玩咁多,12,1
70,如果係即係過咗十點呢即係唔可以接電話傾偈同埋呢如果我哋係,如嗰係遮係嗰咗濕點哩遮係唔可以接電話傾偈同埋嘞如過我哋係,28,8
71,如果我哋做嗮功課呢我哋即係可以玩想玩幾多都可以玩啦,如過我哋做嗮功課囖我哋啫係可以玩想玩幾等都可以玩喇,25,5
72,因為我哋做嗮功課喇,因為我哋做嗮功課嚹,9,1
73,即係細即係幾細啊即係,遮係細遮係幾細遮係,10,4
74,因為我細個嗰陣時我冇出街㗎,因為我細個趕時我冇出街架,13,3
75,我都係出得好少因為呢我係返嘅所以,我都係出特好笑因為囖我係返嘅所以,16,3
76,全部我啲朋友呢住嗮好似啊全部都即係住得好遠囉,全部我啲朋友呢住晒好似呀全部都姐係住得好原囉,22,4
77,所以我冇同佢哋出街出得好多,所以我冇同佢哋出街出得好多,13,0
80,為咗約朋友,為咗約朋友,5,0
81,通常係呢啲,通相係哩啲,5,2
83,細個嗰細個嗰陣時呢大個冇咁多,細個嗰細個趕時爹大個冇咁多,14,3
85,都唔記得,都唔記得,4,0
86,嗱我諗我自己呢即係,拿我林我自己囉遮係,9,4
87,我本身都係乖咯,哦本身都係乖囖,7,2
88,但係呢我唔會即係打啲細蚊仔,但係囉我唔會啫係打啲細蚊仔,13,2
91,我會因為呢我阿爸係即係次次次次我有事我出事嗰陣時佢就叫我,我會因為呢我呀爸係遮係次次次次我有事我出事趕時佢啊叫我,28,5
92,叫點解你唔同我講佢話呢即係,叫點理唔同哦講佢嘩哩遮係,13,6
93,我有即係有有陣時嗰陣時呢佢話即係,我有遮係有有𠻺時趕時囖佢話啫係,16,6
94,喂儘快話畀人聽嗱除非呢係即係我可以自己搞掂,喂盡快話俾人聽拿取飛囖係遮係我可以自己搞掂,21,7
95,都有啲嘢呢即係我我揸車我撞咗唔係我架車嚟㗎,都有啲嘢爺遮係我我揸車我撞咗唔係我架車厘㗎,21,3
96,所以都要打返阿爸話,所以都要打返呀爸話,9,1
97,喂我撞車喎噉點算啊,喂我撞車喎噉點算啊,9,0
99,因為呢舊時呢佢係佢即係,因為舊時嘞佢係佢啫係,11,3
100,佢越老呢佢越馴啲啦佢就唔會咁惡對你佢哋呢即係會聽你講㗎而家,佢越佬囉佢越純啲喇佢就唔會鱷對理佢哋哩遮係會聽李講𡃉而家,29,11
101,但係呢舊時呢佢又唔會聽你佢又唔會你佢直情,但係屋舊時囖佢又唔會聽你佢又唔會離佢直程,20,4
102,即係大男人啦好惡噉樣鬧人啦,遮係大藍人啦好愛咁樣U人啦,13,5
103,佢越佢越即係越嗰啲佢佢越嚟越諗下諗下諗下話嘩,佢越佢越遮係越嗰啲佢佢越黎越林下林下林下話嘩,22,5
104,即係會即係會聽你講嘅佢嘅,遮係會啫係會聽你講嘅佢嘅,12,2
106,媽咪好懵,媽咪好蒙,4,1
107,佢好懵㗎,佢好蒙架,4,2
108,好傻㗎,好傻架,3,1
109,媽咪話即係叫我幾次去唱歌㗎喇,媽咪話遮係叫我幾次去唱歌㗎喇,14,1
110,因為佢想佢佢想我上去做個叫佢上去個台度唱歌,因為佢想佢想我上去做個叫佢上去個台度唱歌,21,1
