NUM, PINYIN, EXPECTED
1,zong1man2ding6jing1man2aa3,中文定英文呀
4,ji4gaa1gei2do1seoi3,而家幾多歲
5,sap6gau2seoi3,唔
6,ngoi6sing1jan4,外星人哈
7,mou2hing1dai6zi2mui6,無兄弟姊妹呀
8,ngaa3maa1lou5dau6,呀媽老竇
9,bat1guo3dak1ngo2jaat1go6gam2,不過得我一個咁
10,zik1hai3waa3ngo2m4hai6syun3hai6zeoi3daai6,即係話我唔係算係最大
11,dim2gong2,點講
12,hai6mai6duk6sang1leoi2,係咪獨身女
13,haa4hai6duk6sang1leoi2,吓係獨生女
14,heong1gong2,香港
16,mou2,唔啊
17,hai2bun1guo3jat1ci3laa1jau4jaat1dung6go2zan6si2jau4jat1dong6bun1heoi3ling6ngoi6jat1dung6laa1haa6,喺搬過一次啦由有一棟嗰陣時由一棟搬去另外一棟啦吓
18,ngo5ji4gaa1zyu6hai2lo1dou1hai6zyu6hai2,我而家住喺囉都係住係
19,gung1jyu6aa3,公寓呀
20,lo1haa6,囉吓
21,aa3maa1lou5dau6tung4maai4zek3gau2,阿媽老竇同埋隻狗
22,kei4sat6zek3gau2syun3m4syun3hai6ngo5aa3mui2ne1,其實隻狗算唔算係我阿妹呢
23,hai6lo1,哈係囉
24,sap6gau2nin4lo1,十九年囉
25,nei5m4gai3ji1nin4ge3waa2hai6sap6baat3nin4,你唔計呢年嘅話十八年
26,caa1m4do1sap6gau2nin4lo1dou1hai6hai6aa3,差唔多十九年啦都係係呀
27,ngo5lou5dau6lou5mou2dou1hai6hai2hoeng1gong2ceot1sai3ge3,我老竇老母都係喺香港出世嘅
28,hoeng1gong2tou2sang1tou2zoeng2,香港土生土長吓
29,zou2fu6,祖父哈哈
30,aa3je4aa3maa1hou2ci5ngo5maa1go2bin6zik1hai6ngo5po4po2tung4maai4aa3aa3gung1ne1zau6hou2ci5hai6hai2hoeng1gong2ceot1sai3ge3,阿爺阿媽好似我媽嗰邊即係我婆婆同埋阿阿公呢就好似喺香港出世嘅
31,bat1guo3ngo5lou5dau6go2bin6ne1zik1hai6waa6aa3je4tung4aa3hou2ci5hai6hai2gwai3lam4go2bin3lei4ge3haa6,不過我老竇嗰邊呢即係話我阿爺同埋阿嬤好似係喺桂林嗰邊黎嘅吓
32,go2zan6si2noi6dei6go2bin6zau6jau5di1lyun6laa1,嗰陣時內地嗰邊就有啲亂啦
33,so2ji3keoi5dei6zu6lei4hoeng1gong2bei6jat1haa2gam2lo1git3gwo2zau6hai2ji1dou6lok6dei6saang1gan1lo1,所以佢地就黎香港避一下咁樣囉結嗰就喺依度落地生根囉
34,so2wai6ge3zou2zik6hai6me1ji3si1,所謂嘅祖籍係乜野意思
35,ngo5dei6daai6bou6fan6dou1hai6zik1hai6waa6ngo5zeoi3waa6hou2cou4aa3ngo5zeoi3zeoi3zik1hai6waa6ngo5di1zeoi3gan6zik1hai6dim2gong2aa3daai6bou6fan6dou1hai6zyu6hai2hoeng1gong2ge2bat1guo3jau5di1dou1hai6zung6hai6zyu6gan2hai2go2bin1ge3,我地大部分都係即係話我最哇好嘈啊我最最即係話我啲最近即係點講呀大部分都係住喺香港嘅不過有啲都係仲係住緊喺嗰邊嘅
36,dou1hou2ci5jau5di1can1cik1ge3,都好似有啲親戚嘅
37,hou2ci5mou5aa1haa6,好似無吖吓吖
38,zik1hai6ngo5dei6go2bin6ji3ging1mou5saai3can1cik1gaa3laa3gei1bun2soeng6,即係我地嗰邊已經無嗮親戚架啦基本上
39,aa3maa1o3tau4sin1waa6aa1maa3ngo5maa1go2bin6ne1zau6hai6jan4lei4ge3,阿媽哦頭先話吖嘛我阿媽嗰邊呢就係人黎嘅
40,bat1gwo3keoi5hai6zi6gei2zik1hai6waa6ngo5aa3maa1go2doi6zi1hau6ne1dou1mou5faan1gwo3heoi3laa3,不過佢係自己即係話我阿媽嗰代之後呢都無返過去啦
41,gam2zoi3gan1zyu6ngo5lou5dau6hai6,咁在跟住我老竇係
42,ngo5lou5dau6go2bin1ne1cyun4bou6dou1hai6jan4lei4ge3haa6,我老竇嗰邊呢全部都人黎嘅吓
43,ngo5m4hai6hou2cing1co2zik1hai6zik1hai6waa6ne1ngo5gei3dak1zung5zi1go2go2ngo5m4gei3dak1zo2hai6gei2si4laa3bat1gwo3zung2zi1hai6go2zan6si2hai6jau5di1zaap6lo1,我唔係好清楚即係即係話呢我記得總之嗰我唔記得左係幾時啊不過總之係嗰陣時係有啲雜囉
44,zik1hai6waa6noi6dei6go2bin6hai6jau5di1lyun6lo1so2ji3keoi5dei6zau2gwo3lei4hoeng1gong2ji1dou6lo1haa6,即係話內地嗰邊有啲亂囉所以佢地走過黎香港呢度囉吓
45,ngo5lou5dau6tung4ngo5gong2gwo3keoi5hai2ngo5dei6,我老竇同我講過佢喺我地
46,jau5jat1ci3tung4ngo5gong2gwo3ngo5m4zi1m4gei3dak1zo2keoi5go3meng2bat1gwo3jau6hai6sing3ge3zik1hai6waa6,有一次同我講過我唔知唔記得左佢個名不過又係姓嘅即係話
47,syun3hai6zou2sin1go2leoi6laa1,算係祖先嗰類啦
48,gam2keoi5zau6hai6go2zan6si2zau6bong1ne1ji1go3bin1go3gwan1deoi2ngo5m4gei3dak1zo2bin1go3gwan1deoi2daa2zoeng3laa1hou2noi6zi1cin4keoi5tung4ngo5gong2gwo3,咁佢就係嗰陣時就幫呢依個邊個軍隊呀我唔記得左邊個軍隊打仗啦好耐以前佢同我講過
49,bat1zik1hai6waa6siu2di1gong2,不即係話少啲講囉
50,zik1hai6waa6ngo5aa3po4go2doi6zi1hau6go2di1gam2ge3je5ne1zik1hai6waa6keoi5dei6ngo5dei6soeg6gei2doi6go2di1je5keoi5dei6cyun4bou6dou1m4gei3dak1saai3laa3haa6,即係話我阿婆嗰代之後嗰啲咁嘅野呢即係話佢地我地上幾代嗰啲野佢地全部都唔記得嗮架啦吓
51,ngo5dei6ji4gaa1gong2gan2jau3zi6jyun2ding6hai6siu2hok6aa3,我地而家講緊幼稚園吖定係小學呀
52,gam2go2zan6si2siu2hok6ne1zau6,咁嗰陣時小學呢就
53,naa4ngo5zyu6hai2ge2gam2bat1gwo3ngo5hok6haau6hai2go2bin6ge3,嗱我住喺嘅不過我學校喺嗰邊嘅
54,so2ji3ne1bat1gwo3dou1hai6ngo5zik1hai6ngo5zik1hai6ngo5zyu6go2tau4ne1dou1jau5hou2do1jan4heoi3heoi3dou1hai6heoi3tung4jat1gaan1siu2hok6ge3,所以呢不過都係我即係我住即係我住嗰頭呢都有好多人去去都係去同一間小學嘅
55,gam2so2ji3go2zan6si2ne1hai6jau5di1pang4jau3dou1tung4zik1hai6tung4ngo5zyu6dak1gei2zik1hai6gei2kan5ge3,咁所以嗰陣時呢係有啲朋友都同即係同我住的幾即係幾近嘅
