NUM, PINYIN, EXPECTED
1,Gong2zung1man2a3,講中文啊
2,Zan1hai6ga3,真係㗎
5,Zung1man4meng2a3,中文名啊
6,Ngo5giu3zou6,我叫做
9,jat1jat1gau2bat3saam1nin4,一一九八三年
10,Hai2Do1leon4Do1ceot1sai3,喺多倫多出世
11,dai6jat1daat3dei6fong1a3Hai6,第一沓地方啊係
12,ji4gaa1dou1hai6zyu6gan2ga3hai6hai2ze1hai6go3dei6zi2a3,啊而家都係住緊㗎係喺即係個地址啊
13,hai6lo1Do1leon4Do1,係囉多倫多
15,Hai6go3uk1lei4ge3,係個屋嚟嘅
16,Uk1kei2jau5ma1mi4de1di4tung4maai6jat1go3daai6lou2,屋企有媽咪爹哋同埋一個大佬
17,De1di4maa1mi4m4hai6hai2dou6ceot1sai3ga3,爹哋媽咪唔係喺度出世㗎
18,Keoi5dei6hai6hai2Hoeng1Gong2ceot1sai3ge3gam2zau6hou2ze1hai6hok6saang1zau6ji4man4lei4Gaa1Laa4Daai6,佢哋係喺香港出世嘅咁就好即係學生就移民嚟加拿大
19,ngo5dou1m4hai6gei2cing1co2bat1gwo3hou2ci5ngo5de1di4lei4li1dou6daap6duk6daai6hok6,啊我都唔係幾清楚不過好似我爹哋嚟度讀大學
20,jing1goi1hai6jaa6gei2seoi3lo1ngo5ma1mi4dou1hai6jat1joeng6jaa6gei2seoi3lo1,應該係廿幾歲囉我媽咪都係一樣廿幾歲囉
21,ze1hai6dim2jeong2joek3a3,即係點樣約啊
22,gu3si6aa3,故事啊
23,Dou1mou5ge2mat1jan1wai6ngo5maa1mi4dim2jeong2jing1goi1hai6o1ngo5de1di4hai6,都冇嘅乜因為我媽咪點樣應該係哦我爹地係
24,lei4li1dou6duk6syu1lo1dou6ji4man4oi1lei4lo1Jing1goi1hai6,嚟呢度讀書囉到移民應該係
25,hai6lo1Ngo5m4hai6gei3cing1co2bat1gwo3hou2ci5maa1mi4hai6ze1hai6jat1keoi5go3daai6lou2ji4man4lei4sin1zau6,係囉我唔係幾清楚不過好似媽咪係即係一佢個大佬移民嚟先咁就
26,gam2zau6keoi5san1cing2zau6hai6lo1ji6di1lo1,咁就佢申請就係囉易啲囉
27,Ngo5keoi1a3,我區啊
28,jan3dou6jan4na1jau5hei1lip6jan4la1,印度人啦有希臘人啦
29,jan4jan4dou1jau5jau5di1zung1gwok3jan4ge2,人人都有有啲中國人嘅
30,Di1leon4geoi1a3Dou1gei2hou2a1ze1hai6daa2ziu1fu1a3jyu4gin3dou2hai6lo1,啲鄰居啊都幾好啊即係打招呼啊如果見到係囉
